Gastos recurrentes normales,Cuenta,dia,COP,USD
Pago de Arriendo,│ 2   │ ARQ Ahorros                  │ USD      │ savings     │,1,"$2,300,000",$632.70
Transferencia Madre 1,│ 2   │ ARQ Ahorros                  │ USD      │ savings     │,1,"$1,200,000",$330.10
Somos Internet,│ 2   │ ARQ Ahorros                  │ USD      │ savings     │,25,"$137,000",$37.69
T. Credito Dilan (le debo unas compras a cuotas que hice con su tarjeta),│ 2   │ ARQ Ahorros                  │ USD      │ savings     │,1,"$80,000",$22.01
Prepagada Medicina - Colmedica,│ 2   │ ARQ Ahorros                  │ USD      │ savings     │,3,"$423,896",$116.61
Seguridad Social Aida - Aportes en Linea,│ 1   │ Bancolombia Ahorros          │ COP      │ savings     │,1,"$500,000",$137.54
Seguridad Social Alejo - Aportes en Linea,│ 1   │ Bancolombia Ahorros          │ COP      │ savings     │,1,"$499,100",$137.30
Plan de Datos Tigo Aida,│ 2   │ ARQ Ahorros                  │ USD      │ savings     │,10,"$47,900",$13.18
Plan de Datos Tigo Alejo,│ 2   │ ARQ Ahorros                  │ USD      │ savings     │,10,"$47,900",$13.18
Factura de servicios - EPM 1403,│ 1   │ Bancolombia Ahorros          │ COP      │ savings     │,15,"$490,000",$134.79
Transferencia Madre 2,│ 2   │ ARQ Ahorros                  │ USD      │ savings     │,15,"$1,200,000",$330.10
Medicina en Casa - EMI,│ 2   │ ARQ Ahorros                  │ USD      │ savings     │,15,"$152,800",$42.03
Pago Cuota del Carro - Kardian,│ 1   │ Bancolombia Ahorros          │ COP      │ savings     │,15,"$1,350,000",$371.37
,,,,
,,,,
Gastos recurrentes de Subscripciones,Cuenta,dia,COP,USD
Servidor DigitalOcean,│ 10  │ Mastercard *8268             │ USD      │ credit_card │,1,,$10.05
LightRoom mobile,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,2,"$6,500",$1.79
Google One 1tb,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,30,"$44,900",$12.35
Freepik,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,8,"$65,000",$17.88
Adobe Suite,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,8,"$78,200",$21.51
Proton VPN,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,14,"$24,900",$6.85
Apple iCloud,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,4,"$44,900",$12.35
Crunchyroll,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,20,"$19,900",$5.47
Paramount,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,28,"$16,450",$4.53
Max,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,28,"$20,930",$5.76
ML 6 Disney+,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,20,"$44,900",$12.35
Amazon Prime,│ 10  │ Mastercard *8268             │ USD      │ credit_card │,21,-,$14.99
Youtube,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,24,"$42,000",$11.55
Netflix,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,26,"$44,900",$12.35
Spotify,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,27,"$30,500",$8.39
Patreon - Leo,│ 10  │ Mastercard *8268             │ USD      │ credit_card │,28,,$9.00
Discord Nitro,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,27,"$19,559.99",$5.38
Apple TV,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,22,"$29,900",$8.23
Termius for SSH from iPhone,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,30,24900,$6.85
SmartFit Gimnasio,│ 9   │ Mastercard *8268             │ COP      │ credit_card │,9,"$109,900",$30.23
Claude Code for Work,│ 10  │ Mastercard *8268             │ USD      │ credit_card │,15,,$200.00
